id;available;url;price;currencyId;category;picture;name;description
16384;true;http://izrael-cosmetics.ru/product/canaan-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-organic-skin-care;6,93;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-restorative-organic-shampoo-organic-skin-care.gif;Canaan Восстанавливающий шампунь, Organic Skin Care;-
15832;true;http://izrael-cosmetics.ru/product/%d0%bf%d1%80%d0%be%d1%84%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%83%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd;8,272;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-shampoo-stronger-hair-enriched-carrot-sea-buckthorn.gif;Bio Spa Профессиональный шампунь для укрепления волос ;-
14928;true;http://izrael-cosmetics.ru/product/%d0%b3%d1%80%d0%b0%d0%bd%d0%b0%d1%82%d0%be%d0%b2%d0%be%d0%b5-%d0%bc%d1%8b%d0%bb%d0%be-dead-sea;7,821;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/pomegranate-aromatherapy-minerals-dead-sea-soap.jpg;Гранатовое мыло, Dead Sea;-
14903;true;http://izrael-cosmetics.ru/product/%d0%bf%d0%b8%d1%82%d0%b0%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d1%81-%d0%b0%d0%bb%d0%be%d1%8d-%d0%b2%d0%b5%d1%80%d0%b0-%d0%b8;10,945;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/sea-buckthorn-obliphica-aloe-vera-nourishing-conditioner-dead-sea-minerals.jpg;Питательный Кондиционер для волос с Облепихой, маслом Алоэ Вера и минералами Мертвого Моря;-
15891;true;http://izrael-cosmetics.ru/product/%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d1%83%d1%85%d0%be%d0%b4-%d0%b4%d0%bb%d1%8f-%d0%bc%d1%83%d0%b6%d1%87%d0%b8%d0%bd-%d1%81-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d0%b0%d0%bc%d0%b8-%d0%bc;8,855;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/treatment-shampoo-men-dead-sea-minerals.gif;Шампунь - уход для мужчин с минералами Мертвого Моря;-
15851;true;http://izrael-cosmetics.ru/product/%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d1%87%d0%b5%d1%80%d0%bd%d0%be%d0%b9-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e;8,855;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-black-mud-hair-conditioner-sea-spa.jpg;Кондиционер для волос с черной грязью Мертвого Моря;-
16691;true;http://izrael-cosmetics.ru/product/%d0%ba%d0%b5%d1%80%d0%b0%d1%82%d0%b8%d0%bd%d0%be%d0%b2%d1%8b%d0%b9-%d1%88%d0%b5%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d0%b4%d0%bb%d1%8f-%d1%81%d0%bc%d1%8f%d0%b3%d1%87%d0%b5%d0%bd%d0%b8%d1%8f-%d0%b2;8,855;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/keratin-shampoo-smoothed-hair.jpg;Кератиновый шеампунь для смягчения волос;-
15853;true;http://izrael-cosmetics.ru/product/sea-of-spa-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d1%81-%d1%87%d0%b5%d1%80%d0%bd%d0%be%d0%b9-%d0%b3%d0%bb%d0%b8%d0%bd%d0%be%d0%b9-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%be;8,855;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/sea-spa-dead-sea-black-mud-shampoo.jpg;Sea of Spa Шампунь с черной глиной Мертвого Моря;-
155600;true;http://izrael-cosmetics.ru/product/%d0%b0%d0%bd%d1%82%d0%b8%d0%bf%d1%81%d0%be%d1%80%d0%b8%d0%b0%d0%b7%d0%bd%d0%be%d0%b5-%d0%bc%d1%8b%d0%bb%d0%be-dead-sea;8,855;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/psoriasis-skin-relief-dead-sea-soap.gif;Антипсориазное мыло, Dead Sea;-
16274;true;http://izrael-cosmetics.ru/product/%d0%b6%d0%b8%d0%b4%d0%ba%d0%be%d0%b5-%d0%bc%d1%8b%d0%bb%d0%be-%d1%81-%d1%87%d0%b5%d1%80%d0%bd%d0%be%d0%b9-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc;6,248;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/black-mud-liquid-soap-dead-sea-products.jpg;Жидкое мыло с черной грязью Мертвого Моря, Dead Sea;-
