"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class"
"Профессиональный укрепляющий шампунь","%d0%bf%d1%80%d0%be%d1%84%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%83%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd","1895","","Bio Spa Профессиональный укрепляющий шампунь с экстрактом моркови и  и маслом облепихи <br><br>Шампунь предназначен для волос, ослабленных окрашиванием. <br>Шампунь содержит в составе экстракт моркови, закрепляющий цвет и масло Облепихи, восстанавливающей поврежденные корни волос, витамины A, C, E, B5 и минералы Мертвого Моря. <br><br>Шампунь восстанавливает волосы, питает кожу головы и делает волосы гладкими, здоровыми и сильными.<br><br>Подходит для ежедневного использования<br>400 мл<br><br>(артикул 15832)","publish","0","2017-03-18 16:55:13","3","closed","15832","no","no","","500","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-shampoo-stronger-hair-enriched-carrot-sea-buckthorn.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Для душа|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Шампуни Dead Sea","",""
"Canaan Organic Восстанавливающий крем для тела","canaan-organic-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0","1896","","Крем питает кожу, давай клеткам энергию, омолаживая кожу.","publish","0","2017-03-18 16:46:58","3","closed","16393","no","no","","560","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-organic-revitalizing-body-cream-organic-skin-care.gif","","simple","Расширенный список > Organic Cosmetics|Расширенный список > Брэнд Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Спа и уход за телом|Уход за телом|Расширенный список > Уход за телом","",""
"Canaan Восстанавливающий шампунь, Organic Skin Care","canaan-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-organic-skin-care","1897","","Содержит масло ореховn Macadamia, масло Жожоба и Оливковое масло. <br>Все экстракты исключительно органического происхождения, содержит ароматические масла.<br> <br> <br>Запатентованный комплекс веществ CSE Complex™ оказывает восстанавливающее и омолаживающее действие<br> <br>Шампунь позиционируется как гипоаллергенная косметика для волос<br><br>250 мл<br>(артикул 16384)","publish","0","2017-03-18 16:47:16","3","closed","16384","no","no","","420","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-restorative-organic-shampoo-organic-skin-care.gif","","simple","Расширенный список > ""Оливковое Масло Продукты Кожи ""|Расширенный список > Organic Cosmetics|Расширенный список > Брэнд Dead Sea|Расширенный список > Для душа|Крема|Расширенный список > Крема|Расширенный список > Мыла Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Спа и уход за телом|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Уход за кожей рук и ног|Уход за телом|Расширенный список > Уход за телом|Расширенный список > Шампуни Dead Sea","",""
"Canaan крем для рук, Dead Sea Cosmetics","canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-dead-sea-cosmetics","1898","","Canaan Крем для рук считается лучшим в этой серии.<br>Содержит минералы Мертвого Моря и интенсивную увлажняющую и восстанавливающую кремовую основу.<br>Подходит для любого типа кожи","publish","0","2017-03-18 16:47:16","3","closed","16410","no","no","","280","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-hand-cream-dead-sea-cosmetics.gif","","simple","Расширенный список > ""Бренды Косметики Мертвого Моря""|Расширенный список > Organic Cosmetics|Расширенный список > Брэнд Dead Sea|Расширенный список > Косметические наборы Dead Sea|Крема|Расширенный список > Крема|Наборы|Расширенный список > Наборы|Расширенный список > Противовоспалительная продукция ухода за лицом Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Скидочные наборы|Расширенный список > Солнцезащитные крема Dead Sea|Расширенный список > Спа и уход за телом|Расширенный список > Уход за кожей ног|Расширенный список > Уход за кожей рук и ног|Уход за телом|Расширенный список > Уход за телом","",""
"Canaan Крем-пилинг для ног, Dead Sea Cosmetics","canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d0%b3-dead-sea-cosmetics","1899","","Очищает кожу, мягко растворяя огрубевшую кожу ног. Содержит кислоты исключительно растительного происхождения","publish","0","2017-03-18 16:47:16","3","closed","16422","no","no","","530","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-peeling-foot-cream-dead-sea-cosmetics.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Уход за кожей ног|Уход за телом","",""
"Canaan Лосьон для тела на водной основе, Dead Sea Cosmetics","canaan-%d0%bb%d0%be%d1%81%d1%8c%d0%be%d0%bd-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-%d0%bd%d0%b0-%d0%b2%d0%be%d0%b4%d0%bd%d0%be%d0%b9-%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%b5-dead-sea-cosmetics","1900","","Смягчает и увлажняет. Это лосьон на водной основе, поэтому он подходит для жирной или комбинированной кожи, раскрывает поры и в то же время удерживает влагу внутри.","publish","0","2017-03-18 16:47:21","3","closed","16446","no","no","","560","","","","","","","visible","instock","no","no","none","","","no","","","","","","","","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Спа и уход за телом|Уход за телом|Расширенный список > Уход за телом","",""
"Canaan Масло - кондиционер для тела, Organic Cosmetics","canaan-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-organic-cosmetics","1901","","Питательное, увлажняющее масло - кондиционер, используется ПОСЛЕ ванной или душа или при массаже.","publish","0","2017-03-18 16:47:21","3","closed","16385","no","no","","560","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-conditioning-body-oil-organic-cosmetics.gif","","simple","Расширенный список > Organic Cosmetics|Расширенный список > Брэнд Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Спа и уход за телом|Уход за телом|Расширенный список > Уход за телом","",""
"Canaan Массажное масло для тела, Dead Sea Cosmetics","canaan-%d0%bc%d0%b0%d1%81%d1%81%d0%b0%d0%b6%d0%bd%d0%be%d0%b5-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-dead-sea-cosmetics","1902","","Очищают кожу, оказывает легкий разогревающий эффект, содержит растительные масла","publish","0","2017-03-18 16:47:21","3","closed","16448","no","no","","430","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-rich-massage-body-oil-dead-sea-cosmetics.gif","","simple","Расширенный список > ""Бренды Косметики Мертвого Моря""|Расширенный список > Брэнд Dead Sea|Расширенный список > Противовоспалительная продукция ухода за лицом Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Расширенный список > Спа и уход за телом|Уход за телом|Расширенный список > Уход за телом","",""
"Canaan многофункциональный крем для рук, Organic Cosmetics","canaan-%d0%bc%d0%bd%d0%be%d0%b3%d0%be%d1%84%d1%83%d0%bd%d0%ba%d1%86%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-organic-cosmet","1903","","Комплексный уход за чувствительной кожей рук. Органические  масла орехов макадамии, жожоба и оливок.<br>Смягчает кожу рук, снимает раздражение, делает кожу гладкой  и эластичной","publish","0","2017-03-18 16:47:25","3","closed","16389","no","no","","340","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-multi-action-hand-cream-organic-cosmetics.gif","","simple","Расширенный список > ""Бренды Косметики Мертвого Моря""|Расширенный список > ""Оливковое Масло Продукты Кожи ""|Расширенный список > Organic Cosmetics|Расширенный список > Брэнд Dead Sea|Расширенный список > Косметические наборы Dead Sea|Крема|Расширенный список > Крема|Расширенный список > Марокканское аргановое масло|Расширенный список > Мыла Dead Sea|Расширенный список > Парфюмерия|Парфюмерия и дезодоранты|Расширенный список > Противовоспалительная продукция ухода за лицом Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Уход за кожей ног|Расширенный список > Уход за кожей рук и ног|Уход за телом|Расширенный список > Шампуни Dead Sea","",""
"Canaan Мыло с минеральной грязью Мертвого Моря, Dead Sea","canaan-%d0%bc%d1%8b%d0%bb%d0%be-%d1%81-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d0%b9-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc","1904","","Уникальное мыло из серии Dead Sea, содержит 21 минеральных компонента Мертвого Моря  и масла. <br>Используется как мыло - скраб, поддерживающий оптимальный pH кожи .<br><br> Содержит запатентованный комплекс CSE Complex ™ и оливковое масло, т.о. мыло оказывает и очищающий, и увлажняющий эффект.<br><br>Не сушит кожу, имеет гипоаллергенный эффект.<br><br>100 г<br><br>(артикул 16427)","publish","0","2017-03-18 16:47:29","3","closed","16427","no","no","","160","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-mineral-mud-soap-dead-sea-cosmetics.gif","","simple","Расширенный список > AHAVA - серия|Расширенный список > Брэнд Dead Sea|Расширенный список > Грязи Dead Sea|Расширенный список > Для душа|Расширенный список > Маски Dead Sea|Расширенный список > Мыла Dead Sea|Расширенный список > Противовоспалительная продукция ухода за лицом Dead Sea|Расширенный список|Расширенный список > Серия Chic Cosmetics|Сыворотки и маски|Расширенный список > Сыворотки и маски|Уход за телом","",""
